rater,pearson,spearman,w_ridge,w_gbrt,w_nn
1,0.24114241999519637,0.2551553359452511,0.4,0.0,0.6
2,0.433844527731245,0.4648349536207211,0.9,0.0,0.09999999999999998
3,0.5733990864967732,0.5791719595279594,0.8500000000000001,0.1,0.049999999999999906
4,0.43028716214213664,0.39908215285811455,0.65,0.15000000000000002,0.19999999999999996
5,0.5204452828666166,0.5035365311319656,0.75,0.05,0.2
6,0.3785068880942227,0.25230021002075714,0.0,0.5,0.5
7,0.12674770548343056,0.08127132344013134,0.5,0.5,0.0
8,0.36371768251432424,0.35517855926426023,0.45,0.0,0.55
9,0.24156350559351475,0.16631581533096532,1.0,0.0,0.0
10,0.4494302875113306,0.41886912224165157,0.75,0.25,0.0
11,0.4857905412939213,0.43114252876397813,1.0,0.0,0.0
12,0.5539106082199564,0.5527727844098981,0.0,0.15000000000000002,0.85
13,0.2923508188722409,0.303906571733939,0.9500000000000001,0.0,0.04999999999999993
14,0.454803452723547,0.47470697743768014,1.0,0.0,0.0
15,0.6440070358764786,0.6484733044723513,0.9500000000000001,0.0,0.04999999999999993
16,0.20851672412442865,0.207294190966049,0.75,0.0,0.25
17,0.5525227276337307,0.5236422332970347,0.8500000000000001,0.05,0.09999999999999991
18,0.40846277242596063,0.35867713737348755,1.0,0.0,0.0
19,0.3876396167268421,0.3062949664989406,0.0,1.0,0.0
20,0.3525007179194027,0.3436468643349654,1.0,0.0,0.0
21,0.42941105674933366,0.4073399692927205,1.0,0.0,0.0
22,0.018820077257225253,0.04302568393250679,0.0,1.0,0.0
23,0.032517629341140754,0.041755861468027324,0.0,0.0,1.0
24,0.6619520227652632,0.6812408793301806,0.0,0.2,0.8
25,0.2548482298350512,0.23786915666463088,0.35000000000000003,0.0,0.6499999999999999
26,0.6241373785933731,0.5976595552939826,0.8500000000000001,0.1,0.049999999999999906
27,0.24544569950432535,0.22492307953758364,0.75,0.25,0.0
28,0.3457190185280626,0.32184681030604284,0.8500000000000001,0.0,0.1499999999999999
29,0.4883493923406005,0.5184243566971555,0.5,0.5,0.0
30,0.5458388101578497,0.5714399706749386,0.45,0.0,0.55
31,0.5169821934776402,0.531244731044731,0.0,0.2,0.8
32,0.36836980439453415,0.32227869183582175,0.8,0.1,0.09999999999999995
33,0.6102558218431754,0.5693204102347565,1.0,0.0,0.0
34,0.3445774349653793,0.36340471935920154,0.75,0.25,0.0
35,0.481436804371942,0.41739451596334504,0.75,0.25,0.0
36,0.2979008447872572,0.3902863060526191,0.6000000000000001,0.35000000000000003,0.04999999999999988
37,0.47618017641911464,0.4818601882098953,0.75,0.2,0.04999999999999999
38,0.4370941592694175,0.337986101693267,0.5,0.05,0.45
39,0.5903545503483912,0.5260433672764606,1.0,0.0,0.0
40,0.26949750625074514,0.23009385273761976,0.0,0.35000000000000003,0.6499999999999999
41,0.19541369202901168,0.11951299736663153,0.0,0.8,0.19999999999999996
42,0.1817927003956413,0.19100395745846588,0.0,1.0,0.0
43,0.3083019786793587,0.3331200828348323,0.0,0.0,1.0
44,0.5696607890922314,0.571768435861971,0.25,0.75,0.0
45,0.5364127807426143,0.5848733625743733,1.0,0.0,0.0
46,0.49235276665591476,0.4998862280007476,0.0,0.0,1.0
